0,0,-2,-2,-2,-1,0,0
0,-1,-2,-3,-3,-4,-3,-3
0,-3,-1,-2,0,1,0,-1
-2,-4,-3,-2,-1,1,0,-1
0,2,2,0,0,0,-1,-1
-2,1,-2,-3,-2,-6,-9,-4
-1,-3,-1,-2,-2,0,8,4
0,1,-3,0,3,2,2,1
-1,1,2,1,3,3,-1,0
0,0,-1,2,2,-2,-2,-1
-2,-2,0,0,-2,-5,-8,-4
-2,-2,-2,-3,-3,-4,-4,-3
0,-2,-1,-2,-1,-1,0,0
-2,-1,1,2,1,1,-2,-1
-2,-1,-1,-3,-1,-1,-3,0
-3,-3,0,-2,-2,1,3,1
-1,-2,-3,0,1,2,2,-1
-1,-4,-3,-3,-4,-4,-3,-3
-1,-2,-4,0,0,1,-2,-2
0,1,0,-1,2,0,4,0
-2,-1,-2,0,0,-1,-2,-1
-1,-1,-1,1,-1,-2,0,-1
-2,-3,-3,-4,-1,-3,-2,0
1,-1,2,0,-1,-1,-5,-2
-1,-1,0,2,-1,0,-2,-1
-2,-2,-1,-1,-1,0,1,1
1,-1,-1,1,-3,0,1,-1
1,0,0,0,-3,-1,0,0
-3,2,-2,-2,-1,-3,-4,-1
0,-6,0,0,0,2,2,0
-1,2,0,-1,1,-4,-2,-2
0,-2,-2,-2,-3,-1,2,0
2,0,1,2,2,-2,-1,0
-3,2,-2,-2,0,1,-3,-2
0,-2,1,-1,-2,-1,-3,-3
-1,0,-1,0,3,3,3,1
-2,-2,-1,-1,-4,0,2,-3
2,0,-1,-1,0,-1,-3,-1
0,0,0,-2,0,1,-1,-1
-4,-5,-4,-4,-5,-4,-4,-4
-1,-3,0,-1,1,1,0,0
0,-2,0,0,1,2,2,2
0,0,-3,-1,-1,-2,0,-1
-1,-2,1,-1,-1,-3,-3,-1
-2,-2,-2,-3,-2,-4,-3,0
-2,-3,-1,-1,0,0,-1,0
-2,-1,-1,-1,0,2,-1,0
0,-1,-1,-1,0,-1,-1,1
-1,-3,-3,-2,-4,-4,-5,-3
-2,-1,-2,-3,-2,-5,-2,-3
0,0,0,1,3,2,3,0
1,3,2,3,3,2,2,-1
-1,5,0,-1,0,-1,-2,-1
-4,-8,-1,2,-1,1,-1,0
-2,-3,-2,-4,-5,-3,-3,-2
-1,-3,-2,-3,-2,-5,-2,-2
2,3,1,1,4,3,1,0
0,4,-1,-2,-3,-2,-1,-3
-2,-4,-3,0,-4,-5,-3,-3
2,2,3,3,1,4,0,1
-1,-2,-2,-4,-1,0,0,-1
0,0,-3,-1,-1,-1,0,0
-2,0,0,1,0,-1,-2,0
-2,-1,-3,-6,-6,-6,-6,-3
-2,-3,-1,0,-4,-3,-1,0
0,1,-3,0,5,6,4,1
1,1,-1,-4,-3,-2,-2,-1
0,-2,3,7,-1,0,1,0
0,-3,1,2,6,3,0,-1
0,-2,-2,-6,-7,-5,-3,-2
-3,-2,-1,-2,-1,-1,-2,-3
-3,-2,-3,-2,-3,4,3,-1
-1,-4,-1,-5,-5,-4,-4,0
0,0,0,-3,-4,-3,-1,-2
-3,-1,-2,1,2,3,1,1
-1,-1,-3,-3,-4,-3,-4,-3
-2,0,-1,4,-1,-1,0,-3
-1,0,-2,1,3,1,0,0
-2,-2,-3,-3,-5,-3,-2,-2
0,0,-2,-2,3,1,-2,0
0,0,-4,-5,-3,0,0,0
-3,-2,-2,-2,-1,-4,-1,-2
-2,0,-5,-2,0,-1,-1,-3
-3,0,0,-1,0,-2,-1,0
-4,-2,3,2,-1,-3,-1,-3
-1,0,-1,-1,0,-1,-1,-1
0,0,5,2,0,-1,-1,0
-1,-3,-7,-7,-1,-3,-3,-1
-1,-2,0,-5,-7,0,0,1
-2,-1,2,7,5,2,0,-1
0,0,-1,4,1,0,-3,0
1,0,-2,-3,-4,-2,-1,-1
